frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon
1551283402.076467247,192.168.10.102,192.168.10.105,52496,5683,12,69,0,6381,,
1551283402.076921116,192.168.10.105,192.168.10.102,5683,52496,12,0,2,6381,,
1551283403.078168097,192.168.10.102,192.168.10.104,54618,5683,12,69,0,15280,,
1551283403.078723177,192.168.10.104,192.168.10.102,5683,54618,12,0,2,15280,,
1551283403.078757532,192.168.10.102,192.168.10.105,57145,5683,12,69,0,65051,,
1551283403.079315101,192.168.10.105,192.168.10.102,5683,57145,12,0,2,65051,,
1551283404.080692453,192.168.10.102,192.168.10.104,40590,5683,12,69,0,18513,,
1551283404.080724279,192.168.10.102,192.168.10.105,40322,5683,12,69,0,15019,,
1551283404.081147583,192.168.10.104,192.168.10.102,5683,40590,12,0,2,18513,,
1551283404.081228320,192.168.10.105,192.168.10.102,5683,40322,12,0,2,15019,,
1551283404.082011947,192.168.10.104,192.168.10.102,34122,5683,29,3,0,33412,,/floor_1_temp
1551283404.082138430,192.168.10.102,192.168.10.104,5683,34122,12,68,2,33412,,
1551283405.083004741,192.168.10.102,192.168.10.104,51919,5683,12,69,0,28604,,
1551283405.083645811,192.168.10.104,192.168.10.102,5683,51919,12,0,2,28604,,
1551283405.083858500,192.168.10.105,192.168.10.102,41603,5683,38,3,0,19094,,/floor_1_light
1551283405.083913990,192.168.10.102,192.168.10.105,53633,5683,12,69,0,31805,,
1551283406.085184623,192.168.10.102,192.168.10.105,5683,41603,12,68,2,19094,,
1551283406.085691989,192.168.10.102,192.168.10.104,33167,5683,12,69,0,32156,,
1551283406.085742437,192.168.10.105,192.168.10.102,5683,53633,12,0,2,31805,,
1551283406.086026294,192.168.10.102,192.168.10.105,38038,5683,12,69,0,63882,,
1551283406.086246023,192.168.10.104,192.168.10.102,5683,33167,12,0,2,32156,,
1551283406.086427321,192.168.10.105,192.168.10.102,5683,38038,12,0,2,63882,,
1551283407.088280534,192.168.10.102,192.168.10.105,58045,5683,12,69,0,3994,,
1551283407.088307944,192.168.10.102,192.168.10.104,46212,5683,12,69,0,7195,,
1551283407.088750266,192.168.10.105,192.168.10.102,5683,58045,12,0,2,3994,,
1551283407.088765327,192.168.10.104,192.168.10.102,5683,46212,12,0,2,7195,,
1551283408.090724786,192.168.10.102,192.168.10.105,51822,5683,12,69,0,46066,,
1551283408.090759656,192.168.10.102,192.168.10.104,59556,5683,12,69,0,63530,,
1551283408.091311206,192.168.10.104,192.168.10.102,5683,59556,12,0,2,63530,,
1551283408.091326428,192.168.10.105,192.168.10.102,5683,51822,12,0,2,46066,,
1551283409.092132514,192.168.10.102,192.168.10.104,52501,5683,12,69,0,51894,,
1551283409.092688586,192.168.10.104,192.168.10.102,5683,52501,12,0,2,51894,,
1551283409.093165613,192.168.10.102,192.168.10.105,33853,5683,12,69,0,59649,,
1551283409.093709461,192.168.10.105,192.168.10.102,5683,33853,12,0,2,59649,,
1551283410.094544590,192.168.10.102,192.168.10.104,43756,5683,12,69,0,14387,,
1551283410.094676687,192.168.10.102,192.168.10.105,59712,5683,12,69,0,3019,,
1551283410.095050123,192.168.10.104,192.168.10.102,5683,43756,12,0,2,14387,,
1551283410.095370974,192.168.10.105,192.168.10.102,5683,59712,12,0,2,3019,,
1551283410.096282892,192.168.10.105,192.168.10.102,51950,5683,37,3,0,48775,,/floor_1_light
1551283410.096397363,192.168.10.102,192.168.10.105,5683,51950,12,68,2,48775,,
1551283411.097028476,192.168.10.102,192.168.10.104,37256,5683,12,69,0,13374,,
1551283411.097505413,192.168.10.104,192.168.10.102,5683,37256,12,0,2,13374,,
1551283411.098177808,192.168.10.102,192.168.10.105,33764,5683,12,69,0,8126,,
1551283411.098662862,192.168.10.105,192.168.10.102,5683,33764,12,0,2,8126,,
1551283412.099429917,192.168.10.102,192.168.10.104,59427,5683,12,69,0,64120,,
1551283412.099888803,192.168.10.104,192.168.10.102,5683,59427,12,0,2,64120,,
1551283412.100403760,192.168.10.102,192.168.10.105,48200,5683,12,69,0,31517,,
1551283412.100883801,192.168.10.105,192.168.10.102,5683,48200,12,0,2,31517,,
