    10.42.0.100;10.42.0.1;1;DB5SCH101101813.wns.windows.com;
    10.42.0.100;10.42.0.1;1;DB5SCH101110123.wns.windows.com;
    10.42.0.100;10.42.0.1;1;a.centrum.cz;
    10.42.0.100;10.42.0.1;1;a.centrum.cz;
    10.42.0.100;10.42.0.1;1;a248.e.akamai.net;
    10.42.0.100;10.42.0.1;1;aa.agkn.com;
    10.42.0.100;10.42.0.1;1;adadvisor.net;
    10.42.0.100;10.42.0.1;1;ads.rubiconproject.com;
    10.42.0.100;10.42.0.1;1;adservice.google.com;
    10.42.0.100;10.42.0.1;1;adservice.google.cz;
    10.42.0.100;10.42.0.1;1;aktualne.disqus.com;
    10.42.0.100;10.42.0.1;1;allunite.com;
    10.42.0.100;10.42.0.1;1;ampconfigprod.blob.core.windows.net;
    10.42.0.100;10.42.0.1;1;api.exponea.com;
    10.42.0.100;10.42.0.1;1;api.microsofttranslator.com;
    10.42.0.100;10.42.0.1;1;api.spotify.com;
    10.42.0.100;10.42.0.1;1;apidata.googleusercontent.com;
    10.42.0.100;10.42.0.1;1;appexmapsappupdate.blob.core.windows.net;
    10.42.0.100;10.42.0.1;1;ash2-accesspoint-a114.ap.spotify.com;
    10.42.0.100;10.42.0.1;1;assets.adobedtm.com;
    10.42.0.100;10.42.0.1;1;az851863.vo.msecnd.net;
    10.42.0.100;10.42.0.1;1;beacon-eu2.rubiconproject.com;
    10.42.0.100;10.42.0.1;1;blob.weather.microsoft.com;
    10.42.0.100;10.42.0.1;1;bn1302.storage.live.com;
    10.42.0.100;10.42.0.1;1;bn1302.storage.live.com;
    10.42.0.100;10.42.0.1;1;c.bingapis.com;
    10.42.0.100;10.42.0.1;1;c1.adform.net;
    10.42.0.100;10.42.0.1;1;cdn.content.prod.cms.msn.com;
    10.42.0.100;10.42.0.1;1;cdn.content.prod.cms.msn.com;
    10.42.0.100;10.42.0.1;1;cdn.content.prod.cms.msn.com;
    10.42.0.100;10.42.0.1;1;cdn.cpex.cz;
    10.42.0.100;10.42.0.1;1;cdn.cpex.cz;
    10.42.0.100;10.42.0.1;1;cdn.i0.cz;
    10.42.0.100;10.42.0.1;1;cdn.onesignal.com;
    10.42.0.100;10.42.0.1;1;cdn.onthe.io;
    10.42.0.100;10.42.0.1;1;cdn.syndication.twimg.com;
    10.42.0.100;10.42.0.1;1;cdp1.public-trust.com;
    10.42.0.100;10.42.0.1;1;cid-df97ec312a267f33.users.storage.live.com;
    10.42.0.100;10.42.0.1;1;client-office365-tas.msedge.net;
    10.42.0.100;10.42.0.1;1;client-s.gateway.messenger.live.com;
    10.42.0.100;10.42.0.1;1;client.wns.windows.com;
    10.42.0.100;10.42.0.1;1;client.wns.windows.com;
    10.42.0.100;10.42.0.1;1;clients1.google.com;
    10.42.0.100;10.42.0.1;1;cm.g.doubleclick.net;
    10.42.0.100;10.42.0.1;1;config.edge.skype.com;
    10.42.0.100;10.42.0.1;1;connect.facebook.net;
    10.42.0.100;10.42.0.1;1;connect.facebook.net;
    10.42.0.100;10.42.0.1;1;content.aimatch.com;
    10.42.0.100;10.42.0.1;1;cpex.demdex.net;
    10.42.0.100;10.42.0.1;1;ctldl.windowsupdate.com;
    10.42.0.100;10.42.0.1;1;cz.search.etargetnet.com;
    10.42.0.100;10.42.0.1;1;d.turn.com;
    10.42.0.100;10.42.0.1;1;d3n5x2l91yva9h.cloudfront.net;
    10.42.0.100;10.42.0.1;1;dc.services.visualstudio.com;
    10.42.0.100;10.42.0.1;1;delivery.performax.cz;
    10.42.0.100;10.42.0.1;1;dev.virtualearth.net;
    10.42.0.100;10.42.0.1;1;dmp.adform.net;
